des_name,hba_moles,hbd_moles,hbd_hba_ratio,temperature_c,inv_temperature,temp_x_dipole,temp_x_solvation,weighted_lumo_energy_ev,weighted_dipole_total,weighted_solvation_energy_eh,weighted_dispersion_energy_eh,weighted_total_energy_eh,dipole_total_difference,total_energy_eh_difference,hba_mw,hbd_mw,avg_molecular_weight,mw_ratio,hba_hbd_count,hbd_hbd_count,hba_hba_count,hbd_hba_count,total_hbond_donors,total_hbond_acceptors,hbond_network_strength,donor_acceptor_ratio,interaction_strength,viscosity_cp
BMC:EG,1.0,1.0,1.0,25,3.354016435,-38.4875,-1.26496585,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,1.0653
BMC:EG,1.0,1.0,1.0,30,3.298697015,-46.185,-1.51795902,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,137.3
BMC:EG,1.0,1.0,1.0,35,3.245172805,-53.8825,-1.77095219,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,73.7
BMC:EG,1.0,1.0,1.0,40,3.193357816,-61.58,-2.02394536,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,37.2
BMC:EG,1.0,1.0,1.0,45,3.14317146,-69.2775,-2.27693853,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,15.6
BMC:EG,1.0,1.0,1.0,50,3.09453814,-76.975,-2.5299317,-2.8372,-1.5395,-0.050598634,-0.012701592,-23.81270136,0.225,16.70266294,150.25,62.07,106.16,2.4206541,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.063300226,11.8
BMC:16HD,1.0,1.0,1.0,25,3.354016435,-41.3,-2.17027095,-6.4703,-1.652,-0.086810838,-0.021745251,-32.16403283,11.48028906,38.55686297,150.25,118.18,134.215,1.271365713,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.108556089,1.1242
BMC:16HD,1.0,1.0,1.0,30,3.298697015,-49.56,-2.60432514,-6.4703,-1.652,-0.086810838,-0.021745251,-32.16403283,11.48028906,38.55686297,150.25,118.18,134.215,1.271365713,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.108556089,298.3
BMC:16HD,1.0,1.0,1.0,35,3.245172805,-57.82,-3.03837933,-6.4703,-1.652,-0.086810838,-0.021745251,-32.16403283,11.48028906,38.55686297,150.25,118.18,134.215,1.271365713,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.108556089,144.6
BMC:16HD,1.0,1.0,1.0,40,3.193357816,-66.08,-3.47243352,-6.4703,-1.652,-0.086810838,-0.021745251,-32.16403283,11.48028906,38.55686297,150.25,118.18,134.215,1.271365713,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-0.108556089,71.6
